Identifier,Edition Statement,Place of Publication,Date of Publication,Publisher,Title,Author,Contributors,Corporate Author,Corporate Contributors,Former owner,Engraver,Issuance type,Flickr URL,Shelfmarks
000363861,,London,1889,Remington & Co.,The Black-Box Murder. By the man who discovered the murderer. [By J. M. W. van der Poorten Schwartz.],,"SCHWARTZ, Joost Marius Willem van der Poorten.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000363861,British Library HMNTS 012632.i.26.
000363879,,London,1864,Richard Bentley,Black Moss. A tale by a tarn. By the author of “Miriam May” and “Crispen Ken” [i.e. Arthur Robins],,"ROBINS, Arthur.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000363879,British Library HMNTS 12635.bbb.2.
000364081,[Another edition.] Illustrated by Birket Foster.,Edinburgh,1858,,[Black's Picturesque guide to the English Lakes ... Eighth edition.]: Guide Books. English Lakes,"BLACK, Adam - Publisher, and BLACK (Charles) Publisher","Foster, Myles Birket",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000364081,British Library HMNTS 10358.d.14.
000364223,[Another edition.] Edited by M. J. B. Baddeley ... and E. D. Jordan.,London,1896,,"[Black's Guide to the Isle of Man.]: Guide Books. Man, Isle of","BLACK, Adam - Publisher, and BLACK (Charles) Publisher","JORDAN, Ernest Daniel.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000364223,British Library HMNTS 10347.bb.43.
000365514,[Another edition.] Illustrated by S. E. Waller.,London,1874,Macmillan & Co.,[The Strange Adventures of a Phaeton ... Third edition.],"BLACK, William - Novelist","WALLER, S. E.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000365514,British Library HMNTS 12620.ee.29.
000365883,,London,"1880, [1879]",Sampson Low & Co.,Breton Folk. An artistic tour in Brittany ... With one hundred and seventy illustrations by R. Caldecott,"BLACKBURN, Henry George.","Caldecott, Randolph",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000365883,British Library HMNTS 10174.h.10.
000365886,,London,1867,Sampson Low & Co.,"The Pyrenees: a description of summer life at French watering places ... With ... illustrations by Gustave Doré, and a new map of the Central Pyrenees","BLACKBURN, Henry George.","Doré, Gustave",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000365886,British Library HMNTS 10173.ee.21.
000365887,"New edition, revised and corrected to 1880. With ... a new map, etc.",London,"1881, [1880]",Sampson Low & Co.,"[The Pyrenees: a description of summer life at French watering places ... With ... illustrations by Gustave Doré, and a new map of the Central Pyrenees.]","BLACKBURN, Henry George.","Doré, Gustave",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000365887,British Library HMNTS 10161.de.5.
000366118,,London,1875,Tinsley Bros.,A Modern Parrhasius. A novel,"BLACKBURNE, E. Owens - pseud. [i.e. Elizabeth Owens Blackburne Casey] and CLEMËS (A. A.)","CLEMËS, A. A.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000366118,British Library HMNTS 12637.k.2.
000366406,,London,1864,Longmans & Co.,"Blackfriars; or, the Monks of old. A romantic chronicle. [By Walter Stephens.]",,"STEPHENS, Walter - Novelist",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000366406,British Library HMNTS 12635.i.5.
